simTime,connectivity,neurons,memory,CPU,timeout,hasExecuted,setupTime,execTime,startTime,endTime,measureTime,hasEndedInTimeout,hasEndedInError
0.003,0.830584693727852,9716,16384,16,14400,True,0.57,213.84,1582735944.7025235,1582736159.8751156,215.17259216308594,False,False
0.003,0.9999580120959943,3440,16384,16,14400,True,0.07,58.52,1582736159.9007187,1582736219.26886,59.368141412734985,False,False
0.003,0.5679372882452293,8699,16384,16,14400,True,0.67,248.54,1582736219.2943928,1582736469.2812564,249.98686361312866,False,False
0.003,0.9120537090058711,1603,16384,16,14400,True,0.02,17.19,1582736469.3075683,1582736487.2642918,17.95672345161438,False,False
0.003,0.3981665065062555,8082,16384,16,14400,True,0.64,88.89,1582736487.290779,1582736577.7898843,90.49910521507263,False,False
0.003,0.21557028873755238,3873,16384,16,14400,True,0.11,29.29,1582736577.815995,1582736607.9688685,30.152873516082764,False,False
0.003,0.34035395707325444,9702,16384,16,14400,True,0.83,106.91,1582736607.994856,1582736716.7045062,108.70965003967285,False,False
0.003,0.7630398262739326,4746,16384,16,14400,True,0.15,84.34,1582736716.7300386,1582736801.9728718,85.2428331375122,False,False
0.003,0.4232992701500195,5899,16384,16,14400,True,0.36,72.24,1582736801.9992902,1582736875.4937844,73.49449419975281,False,False
0.003,0.5617136253592276,5505,16384,16,14400,True,0.28,130.43,1582736875.5197904,1582737007.0738897,131.55409932136536,False,False
0.003,0.05887518073170939,3314,16384,16,14400,True,0.05,12.55,1582737007.09973,1582737020.5651956,13.465465545654297,False,False
0.003,0.5962510838774808,6272,16384,16,14400,True,0.35,121.69,1582737020.592115,1582737143.3765657,122.78445076942444,False,False
0.003,0.7303586148673518,5725,16384,16,14400,True,0.24,100.64,1582737143.4029386,1582737245.1760335,101.77309489250183,False,False
0.003,0.9190846001239661,8072,16384,16,14400,True,0.37,164.84,1582737245.2029467,1582737411.174161,165.9712142944336,False,False
0.003,0.963776777213594,383,16384,16,14400,True,0.0,4.81,1582737411.2001507,1582737416.8510735,5.650922775268555,False,False
0.003,0.9733397377223447,7489,16384,16,14400,True,0.31,198.83,1582737416.8769357,1582737616.883772,200.00683617591858,False,False
0.003,0.35383994691883014,7332,16384,16,14400,True,0.49,103.32,1582737616.9107993,1582737721.792438,104.88163876533508,False,False
0.003,0.15913461186847722,8083,16384,16,14400,True,0.37,53.51,1582737721.8190064,1582737776.6747768,54.85577034950256,False,False
0.003,0.9146022264749241,9030,16384,16,14400,True,0.45,208.04,1582737776.7006197,1582737985.9727654,209.27214574813843,False,False
0.003,0.10300900114620667,3488,16384,16,14400,True,0.06,17.13,1582737985.998414,1582738004.1647582,18.166344165802002,False,False
0.003,0.5003198628058516,2128,16384,16,14400,True,0.04,27.47,1582738004.1908677,1582738032.5684838,28.37761616706848,False,False
0.003,0.28798843250808986,3080,16384,16,14400,True,0.08,23.72,1582738032.602159,1582738057.1720011,24.569842100143433,False,False
0.003,0.3512955852003881,5749,16384,16,14400,True,0.3,65.21,1582738057.1990643,1582738123.675582,66.47651767730713,False,False
0.003,0.6448264486812028,6481,16384,16,14400,True,0.34,121.86,1582738123.7033355,1582738246.7795012,123.07616567611694,False,False
0.003,0.5695652740698715,2819,16384,16,14400,True,0.08,42.92,1582738246.8062837,1582738290.6712935,43.865009784698486,False,False
0.003,0.8961304712827258,7155,16384,16,14400,True,0.3,134.51,1582738290.697703,1582738426.2707827,135.57307982444763,False,False
0.003,0.4010026786063657,7164,16384,16,14400,True,0.5,90.83,1582738426.2966108,1582738518.5892603,92.29264950752258,False,False
0.003,0.42626059438457564,5683,16384,16,14400,True,0.33,48.46,1582738518.6162736,1582738568.37321,49.7569363117218,False,False
0.003,0.9180695376569823,5074,16384,16,14400,True,0.15,87.86,1582738568.3998847,1582738657.2712908,88.87140607833862,False,False
0.003,0.015537336019076916,9717,16384,16,14400,True,0.31,24.01,1582738657.2992172,1582738682.5687351,25.26951789855957,False,False
0.003,0.9267446714353069,469,16384,16,14400,True,0.0,4.39,1582738682.5978632,1582738687.7577655,5.159902334213257,False,False
0.003,0.695812264185726,1549,16384,16,14400,True,0.02,17.53,1582738687.7861178,1582738706.0690715,18.28295373916626,False,False
0.003,0.6313065417416709,6720,16384,16,14400,True,0.38,139.51,1582738706.0968087,1582738846.8711782,140.7743694782257,False,False
0.003,0.7732827673753152,8830,16384,16,14400,True,0.51,192.59,1582738846.9014468,1582739040.872052,193.970605134964,False,False
0.003,0.7272067149050829,5805,16384,16,14400,True,0.24,100.94,1582739040.9003935,1582739142.8697221,101.96932864189148,False,False
0.003,0.30734550091199914,2176,16384,16,14400,True,0.05,14.85,1582739142.897254,1582739158.6702015,15.772947549819946,False,False
0.003,0.416018009582122,7459,16384,16,14400,True,0.55,90.16,1582739158.6979964,1582739250.4653,91.76730370521545,False,False
0.003,0.39617730156360487,6645,16384,16,14400,True,0.43,58.19,1582739250.493175,1582739309.974315,59.48113989830017,False,False
0.003,0.6533881622893083,7159,16384,16,14400,True,0.41,148.68,1582739310.0035036,1582739459.969635,149.96613144874573,False,False
0.003,0.7804520201438788,9641,16384,16,14400,True,0.6,235.59,1582739459.9982107,1582739697.0753398,237.0771291255951,False,False
0.003,0.2065952382291934,6730,16384,16,14400,True,0.3,46.61,1582739697.1029344,1582739744.8769374,47.77400302886963,False,False
0.003,0.5829549081520553,1234,16384,16,14400,True,0.02,13.88,1582739744.9051197,1582739759.6709845,14.765864849090576,False,False
0.003,0.7488393163403194,3284,16384,16,14400,True,0.08,46.03,1582739759.7004578,1582739806.5720937,46.87163591384888,False,False
